Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Dystonia	C0013421	FOXRED1	55572	Q96CU9	FAD dependent oxidoreductase domain containing 1	Enzyme	91	0.633	0.462	1.9872e-16	0.4	limited		0	0		
Dystonia	C0013421	MCOLN1	57192	Q9GZU1	mucolipin 1	Ion channel	102	0.601	0.654	0.00058027	0.4	limited	1.0	1	0	2018.0	2018.0
Dystonia	C0013421	MYORG	57462	Q6NSJ0	myogenesis regulating glycosidase (putative)	Enzyme	32	0.805	0.269	1.0871e-11	0.4	strong	1.0	1	0	2019.0	2019.0
Dystonia	C0013421	PTS	5805	Q03393	6-pyruvoyltetrahydropterin synthase		89	0.636	0.654	6.4613e-06	0.4		1.0	2	0	2016.0	2016.0
Dystonia	C0013421	QDPR	5860	P09417	quinoid dihydropteridine reductase	Enzyme	45	0.691	0.5	0.00015254	0.4		1.0	2	0	1998.0	2000.0
Dystonia	C0013421	SDHAF1	644096	A6NFY7	succinate dehydrogenase complex assembly factor 1		88	0.656	0.462	0.087043	0.4	limited	1.0	1	0	2013.0	2013.0
Dystonia	C0013421	CACNA1E	777	Q15878	calcium voltage-gated channel subunit alpha1 E	Ion channel	63	0.65	0.577	1.0	0.4	strong	1.0	1	0	2018.0	2018.0
Dystonia	C0013421	RNASEH2B	79621	Q5TBB1	ribonuclease H2 subunit B		115	0.595	0.615	3.2569e-09	0.4	limited	1.0	1	0	2006.0	2006.0
Dystonia	C0013421	PDHX	8050	O00330	pyruvate dehydrogenase complex component X	Enzyme	93	0.595	0.692	9.7242e-05	0.4	limited	1.0	1	0	2015.0	2015.0
Dystonia	C0013421	RNASEH2C	84153	Q8TDP1	ribonuclease H2 subunit C		120	0.59	0.731	0.0054985	0.4	limited	1.0	1	0	2006.0	2006.0
Dystonia	C0013421	PNPT1	87178	Q8TCS8	polyribonucleotide nucleotidyltransferase 1	Enzyme	64	0.653	0.462	0.00040072	0.4	limited	1.0	1	0	2012.0	2012.0
Multiple Sclerosis	C0026769	NLRP3	114548	Q96P20	NLR family pyrin domain containing 3		805	0.361	0.962	0.00081103	0.4		1.0	18	1	2010.0	2019.0
Multiple Sclerosis	C0026769	HLA-DPB1	3115	P04440	major histocompatibility complex, class II, DP beta 1	Immune response	324	0.453	0.923	5.3254e-10	0.4		0.88	25	0	1990.0	2018.0
Multiple Sclerosis	C0026769	HLA-DQB1	3119	P01920	major histocompatibility complex, class II, DQ beta 1	Immune response	504	0.407	0.885	0.0089259	0.4		0.912	34	0	1991.0	2019.0
Multiple Sclerosis	C0026769	ICAM1	3383	P05362	intercellular adhesion molecule 1		737	0.364	0.962	0.035295	0.4		0.846	13	2	1994.0	2019.0
Multiple Sclerosis	C0026769	IRF8	3394	Q02556	interferon regulatory factor 8	Transcription factor	149	0.539	0.808	0.94807	0.4		0.9	10	0	2009.0	2019.0
Multiple Sclerosis	C0026769	IFNB1	3456	P01574	interferon beta 1		426	0.421	0.846		0.4		0.958	308	0	1995.0	2020.0
Multiple Sclerosis	C0026769	IFNG	3458	P01579	interferon gamma		1519	0.288	0.962	0.47156	0.4		0.97	67	1	1994.0	2020.0
Multiple Sclerosis	C0026769	APOE	348	P02649	apolipoprotein E		1049	0.338	0.962	0.0018685	0.4		0.877	65	2	1994.0	2019.0
Multiple Sclerosis	C0026769	IL1B	3553	P01584	interleukin 1 beta		1801	0.276	0.962	0.13005	0.4		0.905	42	2	1997.0	2019.0
Multiple Sclerosis	C0026769	IL1RN	3557	P18510	interleukin 1 receptor antagonist		701	0.373	0.923	0.030914	0.4		0.722	18	1	1997.0	2015.0
Multiple Sclerosis	C0026769	IL7	3574	P13232	interleukin 7		275	0.464	0.808	0.92574	0.4		0.947	19	0	2007.0	2018.0
Multiple Sclerosis	C0026769	IL10	3586	P22301	interleukin 10		1679	0.281	0.923	0.0058874	0.4		0.922	64	3	1996.0	2019.0
Multiple Sclerosis	C0026769	IL17A	3605	Q16552	interleukin 17A		1074	0.324	0.923	0.043049	0.4		0.986	74	1	1999.0	2020.0
Multiple Sclerosis	C0026769	P2RX7	5027	Q99572	purinergic receptor P2X 7	Ion channel	337	0.45	0.808	3.3344e-11	0.4		1.0	12	1	2007.0	2019.0
Multiple Sclerosis	C0026769	VDR	7421	P11473	vitamin D receptor	Nuclear receptor	852	0.352	0.885	1.6787e-05	0.4		0.891	64	5	1999.0	2019.0
Parkinson Disease	C0030567	PARK16	100359403		Parkinson disease 16 (susceptibility)		5	0.861	0.077		0.4		0.963	27	0	2009.0	2019.0
Parkinson Disease	C0030567	DNM1L	10059	O00429	dynamin 1 like	Enzyme modulator	273	0.475	0.808	0.00056753	0.4		1.0	20	1	2010.0	2020.0
Parkinson Disease	C0030567	PPARGC1A	10891	Q9UBK2	PPARG coactivator 1 alpha	Transcription factor	350	0.453	0.885	0.9973	0.4		0.857	21	3	2009.0	2019.0
Parkinson Disease	C0030567	CP	1356	P00450	ceruloplasmin	Enzyme	283	0.466	0.846	4.2013e-10	0.4		0.938	16	0	2004.0	2020.0
Parkinson Disease	C0030567	CYP2D6	1565	P10635	cytochrome P450 family 2 subfamily D member 6		432	0.437	0.885	1.0793e-25	0.4		0.879	58	0	1992.0	2019.0
Parkinson Disease	C0030567	GDNF	2668	P39905	glial cell derived neurotrophic factor	Signaling	409	0.434	0.885	0.2035	0.4		0.983	117	0	1993.0	2020.0
Parkinson Disease	C0030567	GFAP	2670	P14136	glial fibrillary acidic protein		447	0.421	0.885	1.4601e-06	0.4		1.0	16	0	1999.0	2020.0
Parkinson Disease	C0030567	TMEM230	29058	Q96A57	transmembrane protein 230		15	0.769	0.115	0.00018056	0.4		0.923	13	2	2016.0	2018.0
Parkinson Disease	C0030567	GSTM1	2944	P09488	glutathione S-transferase mu 1		627	0.38	0.923	0.0020641	0.4		0.75	20	0	1999.0	2019.0
Parkinson Disease	C0030567	HFE	3077	Q30201	homeostatic iron regulator		415	0.436	0.846	2.5587e-08	0.4		0.727	11	4	2002.0	2018.0
Parkinson Disease	C0030567	HMOX1	3162	P09601	heme oxygenase 1		666	0.381	0.923	0.0096817	0.4		0.905	21	2	1997.0	2020.0
Parkinson Disease	C0030567	HSPA9	3313	P38646	heat shock protein family A (Hsp70) member 9		198	0.502	0.885	0.96852	0.4		0.818	11	0	2006.0	2018.0
Parkinson Disease	C0030567	IL6	3569	P05231	interleukin 6		2367	0.248	0.962	0.31536	0.4		1.0	23	1	2001.0	2019.0
Parkinson Disease	C0030567	MAOA	4128	P21397	monoamine oxidase A		300	0.465	0.769	0.99928	0.4		0.87	23	2	1994.0	2019.0
Parkinson Disease	C0030567	MTHFR	4524	P42898	methylenetetrahydrofolate reductase		985	0.337	0.885	3.2068e-10	0.4		1.0	21	4	2004.0	2019.0
Parkinson Disease	C0030567	NOS1	4842	P29475	nitric oxide synthase 1		521	0.408	0.885	1.0	0.4		0.727	11	3	1997.0	2019.0
Parkinson Disease	C0030567	ABCB1	5243	P08183	ATP binding cassette subfamily B member 1	Transporter	933	0.344	0.885	1.2564e-05	0.4		0.9	20	4	2002.0	2018.0
Parkinson Disease	C0030567	VPS35	55737	Q96QK1	VPS35 retromer complex component	Transporter	66	0.656	0.5	0.96921	0.4		0.931	58	2	2011.0	2019.0
Parkinson Disease	C0030567	BDNF	627	P23560	brain derived neurotrophic factor	Signaling	992	0.345	0.923	0.65626	0.4		0.906	96	6	1995.0	2020.0
Parkinson Disease	C0030567	SLC6A3	6531	Q01959	solute carrier family 6 member 3	Transporter	373	0.453	0.885	0.99758	0.4		0.935	185	7	1994.0	2020.0
Parkinson Disease	C0030567	SOD1	6647	P00441	superoxide dismutase 1	Enzyme	689	0.379	0.962	0.1773	0.4		0.971	35	3	1993.0	2020.0
Parkinson Disease	C0030567	SOD2	6648	P04179	superoxide dismutase 2	Enzyme	668	0.379	0.923	0.15499	0.4		1.0	11	3	1997.0	2019.0
Parkinson Disease	C0030567	TNF	7124	P01375	tumor necrosis factor	Signaling	2724	0.231	0.962	0.8033	0.4		0.98	50	0	1999.0	2020.0
Autism Spectrum Disorders	C1510586	PTCHD1	139411	Q96NR3	patched domain containing 1	Receptor	62	0.678	0.385	0.98224	0.4		1.0	10	1	2008.0	2020.0
Autism Spectrum Disorders	C1510586	SHANK2	22941	Q9UPX8	SH3 and multiple ankyrin repeat domains 2		49	0.663	0.385	8.4299e-07	0.4		0.974	39	6	2010.0	2019.0
Autism Spectrum Disorders	C1510586	OXTR	5021	P30559	oxytocin receptor	G-protein coupled receptor	144	0.541	0.769	0.00071066	0.4		0.941	34	11	2008.0	2019.0
Autism Spectrum Disorders	C1510586	AVPR1A	552	P37288	arginine vasopressin receptor 1A	G-protein coupled receptor	51	0.663	0.5	6.8987e-07	0.4		1.0	10	3	2006.0	2019.0
Autism Spectrum Disorders	C1510586	RELN	5649	P78509	reelin		178	0.515	0.731	1.0	0.4		0.929	14	4	2002.0	2019.0
Autism Spectrum Disorders	C1510586	PTEN	5728	P60484	phosphatase and tensin homolog	Enzyme	1349	0.305	0.923	0.25651	0.4		1.0	37	6	2005.0	2019.0
Autism Spectrum Disorders	C1510586	NLGN4X	57502	Q8N0W4	neuroligin 4 X-linked		45	0.686	0.423	0.99267	0.4		0.889	18	3	2003.0	2018.0
Autism Spectrum Disorders	C1510586	BDNF	627	P23560	brain derived neurotrophic factor	Signaling	992	0.345	0.923	0.65626	0.4		0.957	23	3	2009.0	2020.0
Alzheimer's Disease	C0002395	CRH	1392	P06850	corticotropin releasing hormone	Signaling	402	0.439	0.808	0.71614	0.39		0.9	10	0	1995.0	2019.0
Alzheimer's Disease	C0002395	SOD2	6648	P04179	superoxide dismutase 2	Enzyme	668	0.379	0.923	0.15499	0.38		0.889	9	2	2001.0	2018.0
Parkinson Disease	C0030567	GSTP1	2950	P09211	glutathione S-transferase pi 1		610	0.383	0.923	0.014155	0.38		0.778	9	2	2003.0	2019.0
Parkinson Disease	C0030567	DDIT4	54541	Q9NX09	DNA damage inducible transcript 4		92	0.576	0.769	0.00068309	0.38		1.0	8	0	2006.0	2018.0
Autism Spectrum Disorders	C1510586	GRIN2B	2904	Q13224	glutamate ionotropic receptor NMDA type subunit 2B	Ion channel	249	0.51	0.692	1.0	0.38		1.0	9	0	2011.0	2019.0
Autism Spectrum Disorders	C1510586	TSC2	7249	P49815	TSC complex subunit 2	Enzyme modulator	410	0.439	0.808	1.0	0.38		1.0	10	2	2011.0	2019.0
Multiple Sclerosis	C0026769	CNR1	1268	P21554	cannabinoid receptor 1	G-protein coupled receptor	393	0.446	0.808	0.50652	0.37		1.0	8	1	2003.0	2019.0
Multiple Sclerosis	C0026769	GC	2638	P02774	GC vitamin D binding protein	Transporter	219	0.489	0.885	2.7301e-11	0.37		0.75	8	3	1988.0	2018.0
Parkinson Disease	C0030567	CYP2E1	1571	P05181	cytochrome P450 family 2 subfamily E member 1		306	0.459	0.885	8.0688e-09	0.37		0.875	8	2	1998.0	2013.0
Autism Spectrum Disorders	C1510586	FOXP1	27086	Q9H334	forkhead box P1		317	0.46	0.808	0.99998	0.37		1.0	8	1	2010.0	2019.0
Autism Spectrum Disorders	C1510586	ITGB3	3690	P05106	integrin subunit beta 3	Receptor	260	0.485	0.846	0.0017189	0.37		1.0	7	4	2011.0	2019.0
Alzheimer's Disease	C0002395	PLCG2	5336	P16885	phospholipase C gamma 2	Enzyme	82	0.588	0.808	0.99562	0.36		1.0	6	1	2017.0	2019.0
Alzheimer's Disease	C0002395	UNC5C	8633	O95185	unc-5 netrin receptor C	Receptor	47	0.65	0.462	0.0008813	0.36		1.0	7	4	2014.0	2016.0
Dystonia	C0013421	ANO3	63982	Q9BYT9	anoctamin 3		37	0.716	0.385	1.2489e-17	0.36		1.0	6	0	2012.0	2019.0
Multiple Sclerosis	C0026769	CASP1	834	P29466	caspase 1	Enzyme	444	0.413	0.885	3.5183e-05	0.36		1.0	7	0	1999.0	2018.0
Parkinson Disease	C0030567	MAP3K5	4217	Q99683	mitogen-activated protein kinase kinase kinase 5	Kinase	170	0.513	0.808	0.51964	0.36		0.833	6	0	2006.0	2020.0
Parkinson Disease	C0030567	NGF	4803	P01138	nerve growth factor	Signaling	616	0.391	0.885	0.82026	0.36		1.0	6	0	2009.0	2018.0
Autism Spectrum Disorders	C1510586	IL1RAPL1	11141	Q9NZN1	interleukin 1 receptor accessory protein like 1	Receptor	103	0.617	0.692	0.99886	0.36		0.857	7	0	2010.0	2019.0
Alzheimer's Disease	C0002395	ABI3	51225	Q9P2A4	ABI family member 3	Enzyme modulator	27	0.716	0.231	5.0089e-05	0.35		1.0	5	2	2017.0	2019.0
Alzheimer's Disease	C0002395	WWOX	51741	Q9NZC7	WW domain containing oxidoreductase	Enzyme	356	0.453	0.808	1.2376e-15	0.35		1.0	6	0	2004.0	2019.0
Alzheimer's Disease	C0002395	TF	7018	P02787	transferrin	Enzyme	168	0.527	0.846	4.1001e-08	0.35		1.0	6	2	2002.0	2012.0
Multiple Sclerosis	C0026769	SLC11A1	6556	P49279	solute carrier family 11 member 1	Transporter	141	0.525	0.846	1.5485e-19	0.35		0.667	6	1	2001.0	2010.0
Autism Spectrum Disorders	C1510586	DPP6	1804	P42658	dipeptidyl peptidase like 6	Enzyme	71	0.603	0.692	0.33997	0.35		1.0	5	1	2008.0	2016.0
Alzheimer's Disease	C0002395	CHRNB2	1141	P17787	cholinergic receptor nicotinic beta 2 subunit	Ion channel	96	0.617	0.308	0.00072964	0.34		1.0	4	0	1999.0	2007.0
Alzheimer's Disease	C0002395	SLC30A6	55676	Q6NXT4	solute carrier family 30 member 6	Transporter	19	0.711	0.346	6.906e-09	0.34		1.0	4	0	2006.0	2014.0
Dystonia	C0013421	COL6A3	1293	P12111	collagen type VI alpha 3 chain	Receptor	156	0.563	0.769	1.8131e-20	0.34		1.0	4	0	2016.0	2018.0
Dystonia	C0013421	CIZ1	25792	Q9ULV3	CDKN1A interacting zinc finger protein 1		80	0.617	0.5	0.063172	0.34		0.8	5	0	2013.0	2018.0
Multiple Sclerosis	C0026769	CLDN11	5010	O75508	claudin 11	Cell-cell junction	56	0.623	0.731	0.91076	0.34		1.0	4	0	2008.0	2019.0
Multiple Sclerosis	C0026769	POMC	5443	P01189	proopiomelanocortin		873	0.356	0.846	0.00011658	0.34		1.0	6	0	1988.0	2018.0
Parkinson Disease	C0030567	NQO1	1728	P15559	NAD(P)H quinone dehydrogenase 1		368	0.434	0.885	1.1867e-09	0.34		1.0	4	0	2001.0	2019.0
Parkinson Disease	C0030567	AIF1	199	P55008	allograft inflammatory factor 1	Calcium-binding protein	166	0.521	0.808	1.8793e-06	0.34		1.0	5	0	2009.0	2019.0
Autism Spectrum Disorders	C1510586	RAI1	10743	Q7Z5J4	retinoic acid induced 1	Transcription factor	205	0.545	0.731	1.0	0.34		1.0	4	0	2010.0	2018.0
Autism Spectrum Disorders	C1510586	DPYD	1806	Q12882	dihydropyrimidine dehydrogenase	Enzyme	249	0.493	0.846	3.3686e-22	0.34		1.0	4	0	2008.0	2011.0
Alzheimer's Disease	C0002395	PGRMC1	10857	O00264	progesterone receptor membrane component 1	Signaling	79	0.588	0.654	0.6711	0.33		1.0	3	0	2014.0	2019.0
Alzheimer's Disease	C0002395	EIF2S1	1965	P05198	eukaryotic translation initiation factor 2 subunit alpha	Nucleic acid binding	84	0.587	0.692	0.97031	0.33		1.0	4	0	2002.0	2009.0
Alzheimer's Disease	C0002395	F2	2147	P00734	coagulation factor II, thrombin	Enzyme	490	0.415	0.885	0.0011118	0.33		1.0	4	1	1993.0	2016.0
Alzheimer's Disease	C0002395	ARC	23237	Q7LC44	activity regulated cytoskeleton associated protein		101	0.573	0.769	0.59433	0.33		1.0	4	1	2000.0	2018.0
Alzheimer's Disease	C0002395	CALM1	801	P0DP23;P0DP24;P0DP25	calmodulin 1	Calcium-binding protein	253	0.472	0.808	0.94473	0.33		1.0	4	0	2001.0	2019.0
Multiple Sclerosis	C0026769	PDCD1	5133	Q15116	programmed cell death 1		497	0.402	0.846	0.41706	0.33		1.0	3	0	2011.0	2017.0
Multiple Sclerosis	C0026769	NECTIN2	5819	Q92692	nectin cell adhesion molecule 2		106	0.575	0.769	0.96926	0.33		0.667	3	0	2004.0	2007.0
Multiple Sclerosis	C0026769	SELE	6401	P16581	selectin E		327	0.447	0.808	7.9058e-10	0.33		1.0	4	1	1999.0	2019.0
Multiple Sclerosis	C0026769	VCAM1	7412	P19320	vascular cell adhesion molecule 1		406	0.422	0.808	0.79791	0.33		1.0	4	0	2010.0	2019.0
Parkinson Disease	C0030567	GSTA4	2941	O15217	glutathione S-transferase alpha 4		40	0.678	0.462	0.010958	0.33		1.0	4	0	2005.0	2018.0
Parkinson Disease	C0030567	IGF2	3481	P01344	insulin like growth factor 2		604	0.39	0.885	0.044127	0.33		1.0	3	0	2008.0	2017.0
Parkinson Disease	C0030567	TRPM2	7226	O94759	transient receptor potential cation channel subfamily M member 2	Ion channel	133	0.546	0.731	8.9633e-44	0.33		1.0	3	0	2018.0	2019.0
Autism Spectrum Disorders	C1510586	CHD2	1106	O14647	chromodomain helicase DNA binding protein 2		99	0.585	0.577	1.0	0.33		1.0	4	0	2014.0	2017.0
Autism Spectrum Disorders	C1510586	ANKRD11	29123	Q6UB99	ankyrin repeat domain 11		177	0.556	0.808	1.0	0.33		1.0	3	0	2008.0	2013.0
Autism Spectrum Disorders	C1510586	NRXN3	9369	Q9HDB5;Q9Y4C0	neurexin 3		64	0.656	0.615	1.0	0.33	limited	1.0	4	0	2012.0	2018.0
Alzheimer's Disease	C0002395	ENO1	2023	P06733	enolase 1	Enzyme	231	0.481	0.885	1.914e-05	0.32		1.0	3	0	2003.0	2009.0
Alzheimer's Disease	C0002395	HLA-DRB5	3127	Q30154	major histocompatibility complex, class II, DR beta 5	Immune response	62	0.608	0.731	3.6359e-07	0.32		1.0	2	0	2015.0	2017.0
Alzheimer's Disease	C0002395	IGF2R	3482	P11717	insulin like growth factor 2 receptor	Receptor	166	0.518	0.731	1.0	0.32		1.0	3	0	2004.0	2015.0
Alzheimer's Disease	C0002395	TPI1	7167	P60174	triosephosphate isomerase 1	Enzyme	184	0.517	0.846	0.030193	0.32		1.0	3	0	2009.0	2019.0
Dystonia	C0013421	ACTB	60	P60709	actin beta	Cellular structure	1110	0.325	0.923	0.98564	0.32		1.0	2	1	2006.0	2018.0
Multiple Sclerosis	C0026769	IL12A	3592	P29459	interleukin 12A		261	0.491	0.808	0.04746	0.32		1.0	3	0	2009.0	2013.0
Parkinson Disease	C0030567	HLA-DRB5	3127	Q30154	major histocompatibility complex, class II, DR beta 5	Immune response	62	0.608	0.731	3.6359e-07	0.32		1.0	2	0	2012.0	2017.0
Parkinson Disease	C0030567	IGF2R	3482	P11717	insulin like growth factor 2 receptor	Receptor	166	0.518	0.731	1.0	0.32		1.0	3	0	2009.0	2016.0
Parkinson Disease	C0030567	INS	3630	P01308	insulin		405	0.445	0.923	0.30091	0.32		1.0	3	0	2008.0	2020.0
Autism Spectrum Disorders	C1510586	CDH10	1008	Q9Y6N8	cadherin 10		16	0.76	0.385	0.29379	0.32		1.0	3	0	2016.0	2017.0
Autism Spectrum Disorders	C1510586	JARID2	3720	Q92833	jumonji and AT-rich interaction domain containing 2	Transcription factor	63	0.615	0.577	0.99999	0.32		1.0	2	0	2011.0	2018.0
Autism Spectrum Disorders	C1510586	MTNR1A	4543	P48039	melatonin receptor 1A	G-protein coupled receptor	79	0.59	0.808	7.2327e-07	0.32		0.5	2	0	2010.0	2010.0
Autism Spectrum Disorders	C1510586	TSHZ3	57616	Q63HK5	teashirt zinc finger homeobox 3	Transcription factor	26	0.711	0.423	0.99053	0.32		1.0	2	0	2016.0	2019.0
Autism Spectrum Disorders	C1510586	RYR2	6262	Q92736	ryanodine receptor 2	Ion channel	160	0.539	0.615	0.99999	0.32		1.0	3	0	2012.0	2017.0
Autism Spectrum Disorders	C1510586	SLC1A1	6505	P43005	solute carrier family 1 member 1	Transporter	122	0.561	0.654	8.6876e-06	0.32		1.0	3	1	2008.0	2019.0
Autism Spectrum Disorders	C1510586	GPR50	9248	Q13585	G protein-coupled receptor 50	G-protein coupled receptor	31	0.686	0.462	0.64639	0.32		1.0	2	1	2010.0	2010.0
Autism Spectrum Disorders	C1510586	TRIP12	9320	Q14669	thyroid hormone receptor interactor 12		81	0.678	0.462	1.0	0.32	strong	1.0	3	0	2014.0	2017.0
Autism Spectrum Disorders	C1510586	CEP41	95681	Q9BYV8	centrosomal protein 41		69	0.636	0.5	3.5915e-06	0.32		1.0	2	0	2011.0	2019.0
Alzheimer's Disease	C0002395	SNAR-I	100170222		small NF90 (ILF3) associated RNA I		7	0.805	0.077		0.31		1.0	1	0	2018.0	2018.0
Alzheimer's Disease	C0002395	IQCK	124152	Q8N0W5	IQ motif containing K		10	0.792	0.154	2.0032e-06	0.31		1.0	2	1	2014.0	2019.0
Alzheimer's Disease	C0002395	AMFR	267	Q9UKV5	autocrine motility factor receptor		71	0.599	0.692	5.8368e-05	0.31		1.0	2	0	2012.0	2019.0
Alzheimer's Disease	C0002395	MIR100	406892		microRNA 100		146	0.521	0.846		0.31		1.0	1	0	2015.0	2015.0
Alzheimer's Disease	C0002395	MIR296	407022		microRNA 296		95	0.564	0.654		0.31		1.0	2	0	2015.0	2015.0
Alzheimer's Disease	C0002395	MIR375	494324		microRNA 375		226	0.476	0.769		0.31		1.0	1	0	2015.0	2015.0
Alzheimer's Disease	C0002395	SLC2A4	6517	P14672	solute carrier family 2 member 4	Transporter	158	0.528	0.769	4.7123e-05	0.31		1.0	2	0	2014.0	2020.0
Alzheimer's Disease	C0002395	SLC30A4	7782	O14863	solute carrier family 30 member 4	Transporter	23	0.705	0.385	0.11544	0.31		1.0	1	0	2006.0	2006.0
Dystonia	C0013421	CP	1356	P00450	ceruloplasmin	Enzyme	283	0.466	0.846	4.2013e-10	0.31		1.0	2	0	1987.0	2006.0
Dystonia	C0013421	SCP2	6342	P22307	sterol carrier protein 2		50	0.644	0.5	8.7451e-07	0.31		1.0	1	0	2006.0	2006.0
Multiple Sclerosis	C0026769	RBPJ	3516	Q06330	recombination signal binding protein for immunoglobulin kappa J region	Nucleic acid binding	161	0.518	0.808	0.99853	0.31		1.0	2	0	2011.0	2015.0
Multiple Sclerosis	C0026769	MCAM	4162	P43121	melanoma cell adhesion molecule	Cell adhesion	169	0.514	0.731	0.00015954	0.31		1.0	2	0	2013.0	2018.0
Parkinson Disease	C0030567	ENO2	2026	P09104	enolase 2	Enzyme	239	0.475	0.846	0.38396	0.31		1.0	2	0	2019.0	2020.0
Parkinson Disease	C0030567	FBP1	2203	P09467	fructose-bisphosphatase 1	Enzyme	125	0.575	0.692	0.079124	0.31		1.0	2	0	2008.0	2010.0
Parkinson Disease	C0030567	FCER2	2208	P06734	Fc fragment of IgE receptor II	Receptor	104	0.56	0.654	7.6122e-12	0.31		1.0	2	0	1999.0	2015.0
Parkinson Disease	C0030567	GPX1	2876	P07203	glutathione peroxidase 1	Enzyme	290	0.458	0.923	3.8518e-05	0.31		1.0	2	0	2005.0	2009.0
Parkinson Disease	C0030567	HGF	3082	P14210	hepatocyte growth factor	Enzyme	671	0.374	0.885	0.99947	0.31		1.0	1	0	2006.0	2006.0
Parkinson Disease	C0030567	HSPA1A	3303	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1A		229	0.486	0.769	0.030228	0.31		1.0	2	0	2004.0	2005.0
Parkinson Disease	C0030567	INSR	3643	P06213	insulin receptor	Kinase	452	0.432	0.846	3.6145e-05	0.31		1.0	2	0	1996.0	2009.0
Parkinson Disease	C0030567	MIR181C	406957		microRNA 181c		103	0.555	0.769		0.31		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	MAG	4099	P20916	myelin associated glycoprotein	Receptor	106	0.579	0.692	0.49228	0.31		1.0	2	0	2009.0	2017.0
Parkinson Disease	C0030567	MTA1	9112	Q13330	metastasis associated 1	Nucleic acid binding	118	0.547	0.692	1.0	0.31		1.0	1	0	2016.0	2016.0
Parkinson Disease	C0030567	BAG5	9529	Q9UL15	BAG cochaperone 5		11	0.769	0.346	1.81e-06	0.31		1.0	1	0	2017.0	2017.0
Parkinson Disease	C0030567	TCL1B	9623	O95988	T cell leukemia/lymphoma 1B		100	0.561	0.5	0.010127	0.31		1.0	1	0	2015.0	2015.0
Autism Spectrum Disorders	C1510586	UPP2	151531	O95045	uridine phosphorylase 2	Enzyme	16	0.792	0.231	0.0012599	0.31		1.0	2	0	2012.0	2017.0
Autism Spectrum Disorders	C1510586	DLX1	1745	P56177	distal-less homeobox 1	Transcription factor	30	0.695	0.462	0.96232	0.31		1.0	1	0	2011.0	2011.0
Autism Spectrum Disorders	C1510586	DNMT3A	1788	Q9Y6K1	DNA methyltransferase 3 alpha		350	0.445	0.846	7.3538e-39	0.31		1.0	2	1	2014.0	2019.0
Autism Spectrum Disorders	C1510586	DIPK2A	205428	Q8NDZ4	divergent protein kinase domain 2A		15	0.78	0.385	0.00051408	0.31		1.0	1	0	2011.0	2011.0
Autism Spectrum Disorders	C1510586	DIP2A	23181	Q14689	disco interacting protein 2 homolog A		18	0.76	0.231	0.11301	0.31		1.0	2	0	2017.0	2019.0
Autism Spectrum Disorders	C1510586	SIN3A	25942	Q96ST3	SIN3 transcription regulator family member A	Enzyme	184	0.551	0.692	1.0	0.31		1.0	1	0	2016.0	2016.0
Autism Spectrum Disorders	C1510586	GLRA2	2742	P23416	glycine receptor alpha 2	Ion channel	15	0.751	0.423	0.97334	0.31	limited	1.0	2	1	2016.0	2017.0
Autism Spectrum Disorders	C1510586	GTF2I	2969	P78347	general transcription factor IIi		249	0.5	0.808	0.99592	0.31		1.0	1	0	2012.0	2012.0
Autism Spectrum Disorders	C1510586	HFE	3077	Q30201	homeostatic iron regulator		415	0.436	0.846	2.5587e-08	0.31		1.0	2	0	2009.0	2010.0
Autism Spectrum Disorders	C1510586	MTNR1B	4544	P49286	melatonin receptor 1B	G-protein coupled receptor	93	0.588	0.731	0.00064771	0.31		0.0	1	0	2010.0	2010.0
Autism Spectrum Disorders	C1510586	PAH	5053	P00439	phenylalanine hydroxylase		219	0.516	0.769	6.4046e-23	0.31		1.0	2	0	2013.0	2019.0
Autism Spectrum Disorders	C1510586	PCDH9	5101	Q9HC56	protocadherin 9		35	0.682	0.5	0.80865	0.31		1.0	1	0	2008.0	2008.0
Autism Spectrum Disorders	C1510586	FEV	54738	Q99581	FEV transcription factor, ETS family member	Transcription factor	86	0.593	0.692	0.0081114	0.31		1.0	1	0	2019.0	2019.0
Autism Spectrum Disorders	C1510586	DPP10	57628	Q8N608	dipeptidyl peptidase like 10	Enzyme	32	0.695	0.577	0.99999	0.31		1.0	1	0	2008.0	2008.0
Autism Spectrum Disorders	C1510586	RARB	5915	P10826	retinoic acid receptor beta	Nuclear receptor	254	0.478	0.846	0.99983	0.31		1.0	2	0	2017.0	2019.0
Autism Spectrum Disorders	C1510586	USH2A	7399	O75445	usherin	Enzyme modulator	119	0.579	0.692	1.5692e-94	0.31		1.0	1	0	2019.0	2019.0
Autism Spectrum Disorders	C1510586	DIPK2B	79742	Q9H7Y0	divergent protein kinase domain 2B		5	0.861	0.269	3.2801e-05	0.31		1.0	2	0	2011.0	2011.0
Autism Spectrum Disorders	C1510586	TET1	80312	Q8NFU7	tet methylcytosine dioxygenase 1		156	0.523	0.808	1.0	0.31		1.0	2	0	2014.0	2014.0
Alzheimer's Disease	C0002395	MIR708	100126333		microRNA 708		86	0.57	0.692		0.3		1.0	1	0	2015.0	2015.0
